Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Hour of Request,Request Time Slot,Trip Duration (mins),Ride Outcome,Request Weekday
1756,Airport,5,Trip Completed,2016-07-12 08:40:00,2016-07-12 09:23:00,8,Morning,43.00,Success,Tuesday
2052,City,5,Trip Completed,2016-07-12 14:48:00,2016-07-12 15:50:00,14,Afternoon,62.00,Success,Tuesday
2559,City,5,Trip Completed,2016-07-12 21:32:00,2016-07-12 22:29:00,21,Night,57.00,Success,Tuesday
3014,City,5,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,7,Early Morning,61.55,Success,Wednesday
3317,City,5,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,12,Afternoon,32.18,Success,Wednesday
4297,City,5,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,6,Early Morning,66.62,Success,Thursday
5857,Airport,5,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,9,Morning,58.28,Success,Friday
6690,Airport,5,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,22,Night,69.32,Success,Friday
1517,Airport,6,Trip Completed,2016-07-12 05:45:00,2016-07-12 06:28:00,5,Early Morning,43.00,Success,Tuesday
1999,Airport,6,Trip Completed,2016-07-12 13:02:00,2016-07-12 13:51:00,13,Afternoon,49.00,Success,Tuesday
2960,Airport,6,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35,6,Early Morning,50.03,Success,Wednesday
3882,City,6,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24,21,Night,52.35,Success,Wednesday
4081,Airport,6,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27,2,Late Night,53.22,Success,Thursday
4740,City,6,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14,14,Afternoon,48.12,Success,Thursday
5270,City,6,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43,21,Night,51.80,Success,Thursday
6758,Airport,6,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39,0,Late Night,64.00,Success,Friday
5741,City,6,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55,7,Early Morning,46.07,Success,Friday
6087,Airport,6,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53,14,Afternoon,65.05,Success,Friday
1039,City,7,Trip Completed,2016-07-11 19:31:00,2016-07-11 20:41:00,19,Evening,70.00,Success,Monday
1273,Airport,7,Trip Completed,2016-07-11 22:07:00,2016-07-11 23:12:00,22,Night,65.00,Success,Monday
2480,City,7,Trip Completed,2016-07-12 20:39:00,2016-07-12 21:28:00,20,Evening,49.00,Success,Tuesday
4105,City,7,Trip Completed,2016-07-14 03:39:38,2016-07-14 04:39:04,3,Late Night,59.43,Success,Thursday
4509,City,7,Trip Completed,2016-07-14 09:11:13,2016-07-14 10:17:01,9,Morning,65.80,Success,Thursday
4986,Airport,7,Trip Completed,2016-07-14 18:52:32,2016-07-14 19:50:57,18,Evening,58.42,Success,Thursday
5898,City,7,Trip Completed,2016-07-15 09:50:28,2016-07-15 10:40:39,9,Morning,50.18,Success,Friday
6142,Airport,7,Trip Completed,2016-07-15 15:50:15,2016-07-15 16:36:56,15,Afternoon,46.68,Success,Friday
380,Airport,8,Trip Completed,2016-07-11 08:18:00,2016-07-11 09:18:00,8,Morning,60.00,Success,Monday
1050,Airport,8,Trip Completed,2016-07-11 19:39:00,2016-07-11 20:30:00,19,Evening,51.00,Success,Monday
1769,City,8,Trip Completed,2016-07-12 08:57:00,2016-07-12 09:24:00,8,Morning,27.00,Success,Tuesday
2520,City,8,Trip Completed,2016-07-12 21:05:00,2016-07-12 22:20:00,21,Night,75.00,Success,Tuesday
3265,Airport,8,Trip Completed,2016-07-13 10:22:07,2016-07-13 11:07:02,10,Morning,44.92,Success,Wednesday
4648,City,8,Trip Completed,2016-07-14 11:55:10,2016-07-14 12:59:34,11,Morning,64.40,Success,Thursday
449,Airport,9,Trip Completed,2016-07-11 09:08:00,2016-07-11 09:52:00,9,Morning,44.00,Success,Monday
846,Airport,9,Trip Completed,2016-07-11 17:46:00,2016-07-11 18:52:00,17,Evening,66.00,Success,Monday
1346,Airport,9,Trip Completed,2016-07-11 23:39:00,2016-07-12 00:23:00,23,Night,44.00,Success,Monday
1474,Airport,9,Trip Completed,2016-07-12 05:13:00,2016-07-12 05:56:00,5,Early Morning,43.00,Success,Tuesday
2240,City,9,Trip Completed,2016-07-12 18:20:00,2016-07-12 18:54:00,18,Evening,34.00,Success,Tuesday
3072,Airport,9,Trip Completed,2016-07-13 08:04:57,2016-07-13 08:36:37,8,Morning,31.67,Success,Wednesday
3459,Airport,9,Trip Completed,2016-07-13 17:03:30,2016-07-13 17:31:49,17,Evening,28.32,Success,Wednesday
3774,Airport,9,Trip Completed,2016-07-13 20:41:24,2016-07-13 21:27:29,20,Evening,46.08,Success,Wednesday
4023,City,9,Trip Completed,2016-07-13 23:58:41,2016-07-14 00:58:39,23,Night,59.97,Success,Wednesday
4117,City,9,Trip Completed,2016-07-14 04:21:42,2016-07-14 05:07:07,4,Early Morning,45.42,Success,Thursday
4880,Airport,9,Trip Completed,2016-07-14 17:58:46,2016-07-14 19:02:42,17,Evening,63.93,Success,Thursday
5568,Airport,9,Trip Completed,2016-07-15 05:47:49,2016-07-15 06:25:49,5,Early Morning,38.00,Success,Friday
5994,Airport,9,Trip Completed,2016-07-15 11:51:16,2016-07-15 12:32:12,11,Morning,40.93,Success,Friday
1809,Airport,10,Trip Completed,2016-07-12 09:13:00,2016-07-12 10:01:00,9,Morning,48.00,Success,Tuesday
2064,Airport,10,Trip Completed,2016-07-12 15:08:00,2016-07-12 16:14:00,15,Afternoon,66.00,Success,Tuesday
3210,City,10,Trip Completed,2016-07-13 09:47:06,2016-07-13 10:52:37,9,Morning,65.52,Success,Wednesday
4350,City,10,Trip Completed,2016-07-14 07:24:43,2016-07-14 08:22:09,7,Early Morning,57.43,Success,Thursday
4713,City,10,Trip Completed,2016-07-14 13:31:24,2016-07-14 14:10:56,13,Afternoon,39.53,Success,Thursday
5629,Airport,10,Trip Completed,2016-07-15 06:33:00,2016-07-15 07:19:53,6,Early Morning,46.88,Success,Friday
6157,Airport,10,Trip Completed,2016-07-15 16:32:51,2016-07-15 17:44:44,16,Afternoon,71.88,Success,Friday
2030,City,11,Trip Completed,2016-07-12 14:11:00,2016-07-12 15:02:00,14,Afternoon,51.00,Success,Tuesday
3226,City,11,Trip Completed,2016-07-13 10:00:17,2016-07-13 11:02:52,10,Morning,62.58,Success,Wednesday
3353,City,11,Trip Completed,2016-07-13 13:29:44,2016-07-13 14:09:00,13,Afternoon,39.27,Success,Wednesday
4293,City,11,Trip Completed,2016-07-14 06:42:36,2016-07-14 07:12:41,6,Early Morning,30.08,Success,Thursday
4936,City,11,Trip Completed,2016-07-14 18:22:17,2016-07-14 19:14:36,18,Evening,52.32,Success,Thursday
5661,Airport,11,Trip Completed,2016-07-15 07:08:50,2016-07-15 07:59:00,7,Early Morning,50.17,Success,Friday
5778,City,11,Trip Completed,2016-07-15 08:22:03,2016-07-15 09:13:04,8,Morning,51.02,Success,Friday
6425,Airport,11,Trip Completed,2016-07-15 19:46:40,2016-07-15 20:26:51,19,Evening,40.18,Success,Friday
45,Airport,12,Trip Completed,2016-07-11 03:17:00,2016-07-11 04:09:00,3,Late Night,52.00,Success,Monday
264,City,12,Trip Completed,2016-07-11 06:51:00,2016-07-11 07:40:00,6,Early Morning,49.00,Success,Monday
1183,City,12,Trip Completed,2016-07-11 21:05:00,2016-07-11 21:38:00,21,Night,33.00,Success,Monday
1536,Airport,12,Trip Completed,2016-07-12 05:59:00,2016-07-12 06:59:00,5,Early Morning,60.00,Success,Tuesday
2437,City,12,Trip Completed,2016-07-12 20:18:00,2016-07-12 21:26:00,20,Evening,68.00,Success,Tuesday
2641,Airport,12,Trip Completed,2016-07-12 22:28:00,2016-07-12 23:05:00,22,Night,37.00,Success,Tuesday
4077,Airport,12,Trip Completed,2016-07-14 02:14:15,2016-07-14 03:13:09,2,Late Night,58.90,Success,Thursday
4610,City,12,Trip Completed,2016-07-14 10:35:14,2016-07-14 11:39:01,10,Morning,63.78,Success,Thursday
5066,Airport,12,Trip Completed,2016-07-14 19:31:20,2016-07-14 20:14:03,19,Evening,42.72,Success,Thursday
5666,Airport,12,Trip Completed,2016-07-15 07:04:55,2016-07-15 08:12:37,7,Early Morning,67.70,Success,Friday
5923,City,12,Trip Completed,2016-07-15 10:07:49,2016-07-15 10:50:50,10,Morning,43.02,Success,Friday
6367,City,12,Trip Completed,2016-07-15 19:04:46,2016-07-15 19:46:04,19,Evening,41.30,Success,Friday
155,City,13,Trip Completed,2016-07-11 05:32:00,2016-07-11 06:28:00,5,Early Morning,56.00,Success,Monday
310,Airport,13,Trip Completed,2016-07-11 07:24:00,2016-07-11 08:28:00,7,Early Morning,64.00,Success,Monday
607,City,13,Trip Completed,2016-07-11 11:51:00,2016-07-11 12:42:00,11,Morning,51.00,Success,Monday
1012,City,13,Trip Completed,2016-07-11 19:15:00,2016-07-11 19:57:00,19,Evening,42.00,Success,Monday
1696,Airport,13,Trip Completed,2016-07-12 08:01:00,2016-07-12 08:42:00,8,Morning,41.00,Success,Tuesday
3076,City,13,Trip Completed,2016-07-13 08:09:04,2016-07-13 09:12:19,8,Morning,63.25,Success,Wednesday
4198,Airport,13,Trip Completed,2016-07-14 05:32:14,2016-07-14 06:45:32,5,Early Morning,73.30,Success,Thursday
4627,City,13,Trip Completed,2016-07-14 11:13:19,2016-07-14 12:00:12,11,Morning,46.88,Success,Thursday
5289,City,13,Trip Completed,2016-07-14 21:43:24,2016-07-14 22:24:13,21,Night,40.82,Success,Thursday
5495,Airport,13,Trip Completed,2016-07-15 05:00:13,2016-07-15 06:02:27,5,Early Morning,62.23,Success,Friday
6656,Airport,13,Trip Completed,2016-07-15 22:08:42,2016-07-15 22:41:18,22,Night,32.60,Success,Friday
139,Airport,14,Trip Completed,2016-07-11 05:21:00,2016-07-11 06:09:00,5,Early Morning,48.00,Success,Monday
215,City,14,Trip Completed,2016-07-11 06:15:00,2016-07-11 07:07:00,6,Early Morning,52.00,Success,Monday
1816,City,14,Trip Completed,2016-07-12 09:24:00,2016-07-12 10:07:00,9,Morning,43.00,Success,Tuesday
2505,Airport,14,Trip Completed,2016-07-12 21:03:00,2016-07-12 22:14:00,21,Night,71.00,Success,Tuesday
3346,City,14,Trip Completed,2016-07-13 13:01:42,2016-07-13 13:55:59,13,Afternoon,54.28,Success,Wednesday
5294,City,14,Trip Completed,2016-07-14 21:45:50,2016-07-14 22:16:40,21,Night,30.83,Success,Thursday
6226,Airport,14,Trip Completed,2016-07-15 17:34:25,2016-07-15 18:33:13,17,Evening,58.80,Success,Friday
6733,Airport,14,Trip Completed,2016-07-15 23:32:44,2016-07-16 00:37:46,23,Night,65.03,Success,Friday
1027,Airport,15,Trip Completed,2016-07-11 19:18:00,2016-07-11 20:24:00,19,Evening,66.00,Success,Monday
2675,Airport,15,Trip Completed,2016-07-12 23:43:00,2016-07-13 00:35:12,23,Night,52.20,Success,Tuesday
3200,City,15,Trip Completed,2016-07-13 09:39:44,2016-07-13 10:30:58,9,Morning,51.23,Success,Wednesday
3865,City,15,Trip Completed,2016-07-13 21:52:05,2016-07-13 22:21:15,21,Night,29.17,Success,Wednesday
4468,City,15,Trip Completed,2016-07-14 08:42:46,2016-07-14 09:22:01,8,Morning,39.25,Success,Thursday
5163,Airport,15,Trip Completed,2016-07-14 20:34:30,2016-07-14 21:05:18,20,Evening,30.80,Success,Thursday
6009,City,15,Trip Completed,2016-07-15 12:22:35,2016-07-15 13:25:27,12,Afternoon,62.87,Success,Friday
6448,Airport,15,Trip Completed,2016-07-15 20:02:54,2016-07-15 20:40:45,20,Evening,37.85,Success,Friday
591,City,16,Trip Completed,2016-07-11 11:25:00,2016-07-11 12:31:00,11,Morning,66.00,Success,Monday
709,City,16,Trip Completed,2016-07-11 14:16:00,2016-07-11 15:03:00,14,Afternoon,47.00,Success,Monday
1167,Airport,16,Trip Completed,2016-07-11 20:50:00,2016-07-11 21:52:00,20,Evening,62.00,Success,Monday
2661,Airport,16,Trip Completed,2016-07-12 23:23:00,2016-07-13 00:27:21,23,Night,64.35,Success,Tuesday
2808,City,16,Trip Completed,2016-07-13 05:05:16,2016-07-13 05:56:11,5,Early Morning,50.92,Success,Wednesday
3258,Airport,16,Trip Completed,2016-07-13 10:12:51,2016-07-13 10:45:28,10,Morning,32.62,Success,Wednesday
3413,Airport,16,Trip Completed,2016-07-13 15:32:01,2016-07-13 16:45:44,15,Afternoon,73.72,Success,Wednesday
3939,Airport,16,Trip Completed,2016-07-13 22:26:26,2016-07-13 22:55:54,22,Night,29.47,Success,Wednesday
4125,City,16,Trip Completed,2016-07-14 04:37:11,2016-07-14 05:46:29,4,Early Morning,69.30,Success,Thursday
4457,City,16,Trip Completed,2016-07-14 08:36:24,2016-07-14 09:19:20,8,Morning,42.93,Success,Thursday
4728,City,16,Trip Completed,2016-07-14 14:04:13,2016-07-14 15:06:40,14,Afternoon,62.45,Success,Thursday
5347,Airport,16,Trip Completed,2016-07-14 22:51:47,2016-07-14 23:53:42,22,Night,61.92,Success,Thursday
6147,City,16,Trip Completed,2016-07-15 16:11:02,2016-07-15 17:30:08,16,Afternoon,79.10,Success,Friday
6496,Airport,16,Trip Completed,2016-07-15 20:33:00,2016-07-15 21:32:49,20,Evening,59.82,Success,Friday
634,City,17,Trip Completed,2016-07-11 12:25:00,2016-07-11 13:06:00,12,Afternoon,41.00,Success,Monday
939,Airport,17,Trip Completed,2016-07-11 18:25:00,2016-07-11 19:26:00,18,Evening,61.00,Success,Monday
2628,Airport,17,Trip Completed,2016-07-12 22:10:00,2016-07-12 23:25:00,22,Night,75.00,Success,Tuesday
3021,City,17,Trip Completed,2016-07-13 07:33:20,2016-07-13 08:26:07,7,Early Morning,52.78,Success,Wednesday
4743,City,17,Trip Completed,2016-07-14 14:54:16,2016-07-14 15:39:03,14,Afternoon,44.78,Success,Thursday
4981,City,17,Trip Completed,2016-07-14 18:47:42,2016-07-14 19:43:44,18,Evening,56.03,Success,Thursday
5367,Airport,17,Trip Completed,2016-07-14 23:35:34,2016-07-15 00:25:26,23,Night,49.87,Success,Thursday
5471,Airport,17,Trip Completed,2016-07-15 04:48:57,2016-07-15 05:47:13,4,Early Morning,58.27,Success,Friday
5988,Airport,17,Trip Completed,2016-07-15 11:48:32,2016-07-15 12:55:02,11,Morning,66.50,Success,Friday
6477,Airport,17,Trip Completed,2016-07-15 20:21:26,2016-07-15 21:00:31,20,Evening,39.08,Success,Friday
499,City,18,Trip Completed,2016-07-11 09:39:00,2016-07-11 10:16:00,9,Morning,37.00,Success,Monday
1147,Airport,18,Trip Completed,2016-07-11 20:42:00,2016-07-11 21:18:00,20,Evening,36.00,Success,Monday
1410,Airport,18,Trip Completed,2016-07-12 03:14:00,2016-07-12 04:27:00,3,Late Night,73.00,Success,Tuesday
1804,Airport,18,Trip Completed,2016-07-12 09:12:00,2016-07-12 09:57:00,9,Morning,45.00,Success,Tuesday
1949,Airport,18,Trip Completed,2016-07-12 11:32:00,2016-07-12 12:13:00,11,Morning,41.00,Success,Tuesday
2713,City,18,Trip Completed,2016-07-13 01:46:42,2016-07-13 02:37:08,1,Late Night,50.43,Success,Wednesday
2845,City,18,Trip Completed,2016-07-13 05:28:29,2016-07-13 06:10:40,5,Early Morning,42.18,Success,Wednesday
3943,Airport,18,Trip Completed,2016-07-13 22:35:38,2016-07-13 23:33:20,22,Night,57.70,Success,Wednesday
4792,City,18,Trip Completed,2016-07-14 16:47:15,2016-07-14 17:34:39,16,Afternoon,47.40,Success,Thursday
5207,Airport,18,Trip Completed,2016-07-14 20:57:41,2016-07-14 21:56:21,20,Evening,58.67,Success,Thursday
5890,City,18,Trip Completed,2016-07-15 09:43:57,2016-07-15 10:55:22,9,Morning,71.42,Success,Friday
494,City,19,Trip Completed,2016-07-11 09:36:00,2016-07-11 10:02:00,9,Morning,26.00,Success,Monday
1485,City,19,Trip Completed,2016-07-12 05:21:00,2016-07-12 06:35:00,5,Early Morning,74.00,Success,Tuesday
2042,City,19,Trip Completed,2016-07-12 14:30:00,2016-07-12 15:09:00,14,Afternoon,39.00,Success,Tuesday
2561,Airport,19,Trip Completed,2016-07-12 21:29:00,2016-07-12 22:44:00,21,Night,75.00,Success,Tuesday
3813,Airport,19,Trip Completed,2016-07-13 21:06:57,2016-07-13 21:46:24,21,Night,39.45,Success,Wednesday
4260,Airport,19,Trip Completed,2016-07-14 06:11:51,2016-07-14 06:59:46,6,Early Morning,47.92,Success,Thursday
4395,City,19,Trip Completed,2016-07-14 08:00:15,2016-07-14 08:54:39,8,Morning,54.40,Success,Thursday
5919,City,19,Trip Completed,2016-07-15 10:03:42,2016-07-15 10:59:27,10,Morning,55.75,Success,Friday
6002,Airport,19,Trip Completed,2016-07-15 12:04:15,2016-07-15 12:53:36,12,Afternoon,49.35,Success,Friday
468,City,20,Trip Completed,2016-07-11 09:20:00,2016-07-11 10:05:00,9,Morning,45.00,Success,Monday
693,Airport,20,Trip Completed,2016-07-11 13:51:00,2016-07-11 15:01:00,13,Afternoon,70.00,Success,Monday
1178,City,20,Trip Completed,2016-07-11 21:05:00,2016-07-11 22:06:00,21,Night,61.00,Success,Monday
2103,City,20,Trip Completed,2016-07-12 16:08:00,2016-07-12 17:18:00,16,Afternoon,70.00,Success,Tuesday
2292,Airport,20,Trip Completed,2016-07-12 18:46:00,2016-07-12 19:23:00,18,Evening,37.00,Success,Tuesday
3339,City,20,Trip Completed,2016-07-13 12:40:58,2016-07-13 13:30:26,12,Afternoon,49.47,Success,Wednesday
3694,City,20,Trip Completed,2016-07-13 19:33:19,2016-07-13 20:35:08,19,Evening,61.82,Success,Wednesday
4469,City,20,Trip Completed,2016-07-14 08:45:13,2016-07-14 09:48:08,8,Morning,62.92,Success,Thursday
6432,City,20,Trip Completed,2016-07-15 19:50:57,2016-07-15 20:30:05,19,Evening,39.13,Success,Friday
1895,City,21,Trip Completed,2016-07-12 10:20:00,2016-07-12 10:52:00,10,Morning,32.00,Success,Tuesday
1981,Airport,21,Trip Completed,2016-07-12 12:23:00,2016-07-12 12:56:00,12,Afternoon,33.00,Success,Tuesday
3744,Airport,21,Trip Completed,2016-07-13 20:28:11,2016-07-13 21:22:42,20,Evening,54.52,Success,Wednesday
4433,Airport,21,Trip Completed,2016-07-14 08:26:32,2016-07-14 09:12:02,8,Morning,45.50,Success,Thursday
6039,Airport,21,Trip Completed,2016-07-15 13:11:04,2016-07-15 13:38:01,13,Afternoon,26.95,Success,Friday
6543,City,21,Trip Completed,2016-07-15 20:54:20,2016-07-15 22:12:36,20,Evening,78.27,Success,Friday
110,City,22,Trip Completed,2016-07-11 05:05:00,2016-07-11 06:06:00,5,Early Morning,61.00,Success,Monday
362,City,22,Trip Completed,2016-07-11 08:01:00,2016-07-11 09:18:00,8,Morning,77.00,Success,Monday
666,Airport,22,Trip Completed,2016-07-11 13:02:00,2016-07-11 13:45:00,13,Afternoon,43.00,Success,Monday
926,City,22,Trip Completed,2016-07-11 18:28:00,2016-07-11 19:34:00,18,Evening,66.00,Success,Monday
1180,Airport,22,Trip Completed,2016-07-11 21:01:00,2016-07-11 22:14:00,21,Night,73.00,Success,Monday
1900,City,22,Trip Completed,2016-07-12 10:32:00,2016-07-12 11:42:00,10,Morning,70.00,Success,Tuesday
2506,City,22,Trip Completed,2016-07-12 21:01:00,2016-07-12 21:38:00,21,Night,37.00,Success,Tuesday
3064,City,22,Trip Completed,2016-07-13 08:02:03,2016-07-13 08:58:46,8,Morning,56.72,Success,Wednesday
3327,Airport,22,Trip Completed,2016-07-13 12:24:41,2016-07-13 13:23:39,12,Afternoon,58.97,Success,Wednesday
3601,City,22,Trip Completed,2016-07-13 18:39:00,2016-07-13 19:29:07,18,Evening,50.12,Success,Wednesday
4768,Airport,22,Trip Completed,2016-07-14 15:39:24,2016-07-14 16:49:03,15,Afternoon,69.65,Success,Thursday
5142,City,22,Trip Completed,2016-07-14 20:17:51,2016-07-14 20:48:58,20,Evening,31.12,Success,Thursday
5366,Airport,22,Trip Completed,2016-07-14 23:27:22,2016-07-15 00:19:50,23,Night,52.47,Success,Thursday
5575,City,22,Trip Completed,2016-07-15 05:53:55,2016-07-15 06:50:02,5,Early Morning,56.12,Success,Friday
5902,City,22,Trip Completed,2016-07-15 09:52:57,2016-07-15 10:37:05,9,Morning,44.13,Success,Friday
6694,Airport,22,Trip Completed,2016-07-15 22:45:44,2016-07-15 23:17:53,22,Night,32.15,Success,Friday
523,Airport,23,Trip Completed,2016-07-11 09:48:00,2016-07-11 10:37:00,9,Morning,49.00,Success,Monday
747,City,23,Trip Completed,2016-07-11 15:53:00,2016-07-11 16:43:00,15,Afternoon,50.00,Success,Monday
1371,Airport,23,Trip Completed,2016-07-12 00:22:00,2016-07-12 01:33:00,0,Late Night,71.00,Success,Tuesday
1553,City,23,Trip Completed,2016-07-12 06:09:00,2016-07-12 07:09:00,6,Early Morning,60.00,Success,Tuesday
1692,Airport,23,Trip Completed,2016-07-12 07:52:00,2016-07-12 09:01:00,7,Early Morning,69.00,Success,Tuesday
2114,City,23,Trip Completed,2016-07-12 16:36:00,2016-07-12 17:21:00,16,Afternoon,45.00,Success,Tuesday
2742,City,23,Trip Completed,2016-07-13 03:07:37,2016-07-13 03:51:35,3,Late Night,43.97,Success,Wednesday
4273,City,23,Trip Completed,2016-07-14 06:17:01,2016-07-14 07:02:28,6,Early Morning,45.45,Success,Thursday
4668,City,23,Trip Completed,2016-07-14 12:25:02,2016-07-14 13:34:58,12,Afternoon,69.93,Success,Thursday
5425,City,23,Trip Completed,2016-07-15 02:23:56,2016-07-15 03:08:35,2,Late Night,44.65,Success,Friday
5488,City,23,Trip Completed,2016-07-15 04:53:42,2016-07-15 06:00:16,4,Early Morning,66.57,Success,Friday
5781,City,23,Trip Completed,2016-07-15 08:35:47,2016-07-15 09:42:27,8,Morning,66.67,Success,Friday
5966,Airport,23,Trip Completed,2016-07-15 10:54:27,2016-07-15 11:58:44,10,Morning,64.28,Success,Friday
6122,City,23,Trip Completed,2016-07-15 15:26:06,2016-07-15 16:29:40,15,Afternoon,63.57,Success,Friday
357,Airport,24,Trip Completed,2016-07-11 08:00:00,2016-07-11 09:08:00,8,Morning,68.00,Success,Monday
1068,City,24,Trip Completed,2016-07-11 19:52:00,2016-07-11 20:48:00,19,Evening,56.00,Success,Monday
2689,Airport,24,Trip Completed,2016-07-13 00:34:03,2016-07-13 01:49:08,0,Late Night,75.08,Success,Wednesday
